Datum,Provincienaam,Provinciecode,Type,Aantal,AantalCumulatief
2020-05-24,Drenthe,22.0,Overleden,0.0,38.0
2020-05-25,Drenthe,22.0,Overleden,0.0,38.0
2020-05-26,Drenthe,22.0,Overleden,0.0,38.0
2020-05-27,Drenthe,22.0,Overleden,0.0,38.0
2020-05-28,Drenthe,22.0,Overleden,0.0,38.0
2020-05-29,Drenthe,22.0,Overleden,0.0,38.0
2020-05-30,Drenthe,22.0,Overleden,0.0,38.0
2020-05-31,Drenthe,22.0,Overleden,0.0,38.0
2020-06-01,Drenthe,22.0,Overleden,0.0,38.0
2020-06-02,Drenthe,22.0,Overleden,0.0,38.0
2020-06-03,Drenthe,22.0,Overleden,0.0,38.0
2020-06-04,Drenthe,22.0,Overleden,0.0,38.0
2020-06-05,Drenthe,22.0,Overleden,0.0,38.0
2020-06-06,Drenthe,22.0,Overleden,0.0,38.0
2020-06-07,Drenthe,22.0,Overleden,0.0,38.0
2020-06-08,Drenthe,22.0,Overleden,0.0,38.0
2020-06-09,Drenthe,22.0,Overleden,0.0,38.0
2020-06-10,Drenthe,22.0,Overleden,0.0,38.0
2020-06-11,Drenthe,22.0,Overleden,0.0,38.0
2020-06-12,Drenthe,22.0,Overleden,0.0,38.0
2020-06-13,Drenthe,22.0,Overleden,0.0,38.0
2020-06-14,Drenthe,22.0,Overleden,0.0,38.0
2020-06-15,Drenthe,22.0,Overleden,0.0,38.0
2020-06-16,Drenthe,22.0,Overleden,0.0,38.0
2020-06-17,Drenthe,22.0,Overleden,0.0,38.0
2020-06-18,Drenthe,22.0,Overleden,1.0,39.0
2020-06-19,Drenthe,22.0,Overleden,1.0,40.0
2020-06-20,Drenthe,22.0,Overleden,0.0,40.0
2020-06-21,Drenthe,22.0,Overleden,0.0,40.0
2020-06-22,Drenthe,22.0,Overleden,0.0,40.0
2020-06-23,Drenthe,22.0,Overleden,0.0,40.0
2020-06-24,Drenthe,22.0,Overleden,0.0,40.0
2020-06-25,Drenthe,22.0,Overleden,0.0,40.0
2020-06-26,Drenthe,22.0,Overleden,0.0,40.0
2020-06-27,Drenthe,22.0,Overleden,0.0,40.0
2020-06-28,Drenthe,22.0,Overleden,0.0,40.0
2020-06-29,Drenthe,22.0,Overleden,0.0,40.0
2020-06-30,Drenthe,22.0,Overleden,0.0,40.0
2020-07-01,Drenthe,22.0,Overleden,1.0,41.0
2020-07-02,Drenthe,22.0,Overleden,0.0,41.0
2020-07-03,Drenthe,22.0,Overleden,0.0,41.0
2020-07-04,Drenthe,22.0,Overleden,0.0,41.0
2020-07-05,Drenthe,22.0,Overleden,0.0,41.0
2020-07-06,Drenthe,22.0,Overleden,0.0,41.0
2020-07-07,Drenthe,22.0,Overleden,0.0,41.0
2020-07-08,Drenthe,22.0,Overleden,1.0,42.0
2020-07-09,Drenthe,22.0,Overleden,0.0,42.0
2020-07-10,Drenthe,22.0,Overleden,0.0,42.0
2020-07-11,Drenthe,22.0,Overleden,0.0,42.0
2020-07-12,Drenthe,22.0,Overleden,0.0,42.0
2020-07-13,Drenthe,22.0,Overleden,0.0,42.0
2020-07-14,Drenthe,22.0,Overleden,0.0,42.0
2020-07-15,Drenthe,22.0,Overleden,0.0,42.0
2020-07-16,Drenthe,22.0,Overleden,0.0,42.0
2020-07-17,Drenthe,22.0,Overleden,0.0,42.0
2020-07-18,Drenthe,22.0,Overleden,0.0,42.0
2020-07-19,Drenthe,22.0,Overleden,0.0,42.0
2020-07-20,Drenthe,22.0,Overleden,0.0,42.0
2020-07-21,Drenthe,22.0,Overleden,0.0,42.0
2020-07-22,Drenthe,22.0,Overleden,0.0,42.0
2020-07-23,Drenthe,22.0,Overleden,0.0,42.0
2020-07-24,Drenthe,22.0,Overleden,0.0,42.0
2020-07-25,Drenthe,22.0,Overleden,0.0,42.0
2020-07-26,Drenthe,22.0,Overleden,0.0,42.0
2020-07-27,Drenthe,22.0,Overleden,0.0,42.0
2020-07-28,Drenthe,22.0,Overleden,0.0,42.0
2020-07-29,Drenthe,22.0,Overleden,0.0,42.0
2020-07-30,Drenthe,22.0,Overleden,0.0,42.0
2020-07-31,Drenthe,22.0,Overleden,0.0,42.0
2020-08-01,Drenthe,22.0,Overleden,0.0,42.0
2020-08-02,Drenthe,22.0,Overleden,0.0,42.0
2020-08-03,Drenthe,22.0,Overleden,0.0,42.0
2020-08-04,Drenthe,22.0,Overleden,0.0,42.0
2020-08-05,Drenthe,22.0,Overleden,0.0,42.0
2020-08-06,Drenthe,22.0,Overleden,0.0,42.0
2020-08-07,Drenthe,22.0,Overleden,0.0,42.0
2020-08-08,Drenthe,22.0,Overleden,0.0,42.0
2020-08-09,Drenthe,22.0,Overleden,0.0,42.0
2020-08-10,Drenthe,22.0,Overleden,0.0,42.0
2020-08-11,Drenthe,22.0,Overleden,0.0,42.0
2020-08-12,Drenthe,22.0,Overleden,0.0,42.0
2020-08-13,Drenthe,22.0,Overleden,0.0,42.0
2020-08-14,Drenthe,22.0,Overleden,0.0,42.0
2020-08-15,Drenthe,22.0,Overleden,0.0,42.0
2020-08-16,Drenthe,22.0,Overleden,0.0,42.0
2020-08-17,Drenthe,22.0,Overleden,0.0,42.0
2020-08-18,Drenthe,22.0,Overleden,0.0,42.0
2020-08-19,Drenthe,22.0,Overleden,0.0,42.0
2020-08-20,Drenthe,22.0,Overleden,0.0,42.0
2020-08-21,Drenthe,22.0,Overleden,0.0,42.0
2020-08-22,Drenthe,22.0,Overleden,0.0,42.0
2020-08-23,Drenthe,22.0,Overleden,0.0,42.0
2020-08-24,Drenthe,22.0,Overleden,1.0,43.0
2020-08-25,Drenthe,22.0,Overleden,0.0,43.0
2020-08-26,Drenthe,22.0,Overleden,0.0,43.0
2020-08-27,Drenthe,22.0,Overleden,0.0,43.0
2020-08-28,Drenthe,22.0,Overleden,0.0,43.0
2020-08-29,Drenthe,22.0,Overleden,0.0,43.0
2020-08-30,Drenthe,22.0,Overleden,0.0,43.0
2020-08-31,Drenthe,22.0,Overleden,0.0,43.0
2020-09-01,Drenthe,22.0,Overleden,0.0,43.0
2020-09-02,Drenthe,22.0,Overleden,0.0,43.0
2020-09-03,Drenthe,22.0,Overleden,0.0,43.0
2020-09-04,Drenthe,22.0,Overleden,0.0,43.0
2020-09-05,Drenthe,22.0,Overleden,0.0,43.0
2020-09-06,Drenthe,22.0,Overleden,0.0,43.0
2020-09-07,Drenthe,22.0,Overleden,0.0,43.0
2020-09-08,Drenthe,22.0,Overleden,0.0,43.0
2020-09-09,Drenthe,22.0,Overleden,0.0,43.0
2020-09-10,Drenthe,22.0,Overleden,0.0,43.0
2020-09-11,Drenthe,22.0,Overleden,0.0,43.0
2020-09-12,Drenthe,22.0,Overleden,0.0,43.0
2020-09-13,Drenthe,22.0,Overleden,0.0,43.0
2020-09-14,Drenthe,22.0,Overleden,0.0,43.0
2020-09-15,Drenthe,22.0,Overleden,0.0,43.0
2020-09-16,Drenthe,22.0,Overleden,0.0,43.0
2020-09-17,Drenthe,22.0,Overleden,0.0,43.0
2020-09-18,Drenthe,22.0,Overleden,0.0,43.0
2020-09-19,Drenthe,22.0,Overleden,0.0,43.0
2020-09-20,Drenthe,22.0,Overleden,0.0,43.0
2020-09-21,Drenthe,22.0,Overleden,0.0,43.0
2020-09-22,Drenthe,22.0,Overleden,0.0,43.0
2020-09-23,Drenthe,22.0,Overleden,0.0,43.0
2020-09-24,Drenthe,22.0,Overleden,0.0,43.0
2020-09-25,Drenthe,22.0,Overleden,0.0,43.0
2020-09-26,Drenthe,22.0,Overleden,0.0,43.0
2020-09-27,Drenthe,22.0,Overleden,0.0,43.0
2020-09-28,Drenthe,22.0,Overleden,1.0,44.0
2020-09-29,Drenthe,22.0,Overleden,2.0,46.0
2020-09-30,Drenthe,22.0,Overleden,1.0,47.0
2020-10-01,Drenthe,22.0,Overleden,1.0,48.0
2020-10-02,Drenthe,22.0,Overleden,1.0,49.0
2020-10-03,Drenthe,22.0,Overleden,0.0,49.0
2020-10-04,Drenthe,22.0,Overleden,3.0,52.0
2020-10-05,Drenthe,22.0,Overleden,0.0,52.0
2020-10-06,Drenthe,22.0,Overleden,2.0,54.0
2020-10-07,Drenthe,22.0,Overleden,2.0,56.0
2020-10-08,Drenthe,22.0,Overleden,1.0,57.0
2020-10-09,Drenthe,22.0,Overleden,1.0,58.0
2020-10-10,Drenthe,22.0,Overleden,1.0,59.0
2020-10-11,Drenthe,22.0,Overleden,1.0,60.0
2020-10-12,Drenthe,22.0,Overleden,2.0,62.0
2020-10-13,Drenthe,22.0,Overleden,3.0,65.0
2020-10-14,Drenthe,22.0,Overleden,0.0,65.0
2020-10-15,Drenthe,22.0,Overleden,0.0,65.0
2020-10-16,Drenthe,22.0,Overleden,0.0,65.0
2020-10-17,Drenthe,22.0,Overleden,0.0,65.0
2020-10-18,Drenthe,22.0,Overleden,1.0,66.0
2020-10-19,Drenthe,22.0,Overleden,0.0,66.0
2020-10-20,Drenthe,22.0,Overleden,2.0,68.0
2020-10-21,Drenthe,22.0,Overleden,1.0,69.0
2020-10-22,Drenthe,22.0,Overleden,3.0,72.0
2020-10-23,Drenthe,22.0,Overleden,0.0,72.0
2020-10-24,Drenthe,22.0,Overleden,0.0,72.0
2020-10-25,Drenthe,22.0,Overleden,1.0,73.0
2020-10-26,Drenthe,22.0,Overleden,1.0,74.0
2020-10-27,Drenthe,22.0,Overleden,3.0,77.0
2020-10-28,Drenthe,22.0,Overleden,2.0,79.0
2020-10-29,Drenthe,22.0,Overleden,4.0,83.0
2020-10-30,Drenthe,22.0,Overleden,0.0,83.0
2020-10-31,Drenthe,22.0,Overleden,0.0,83.0
2020-11-01,Drenthe,22.0,Overleden,0.0,83.0
2020-11-02,Drenthe,22.0,Overleden,0.0,83.0
2020-11-03,Drenthe,22.0,Overleden,1.0,84.0
2020-11-04,Drenthe,22.0,Overleden,4.0,88.0
2020-11-05,Drenthe,22.0,Overleden,5.0,93.0
2020-11-06,Drenthe,22.0,Overleden,1.0,94.0
2020-11-07,Drenthe,22.0,Overleden,0.0,94.0
2020-11-08,Drenthe,22.0,Overleden,0.0,94.0
2020-11-09,Drenthe,22.0,Overleden,2.0,96.0
2020-11-10,Drenthe,22.0,Overleden,1.0,97.0
2020-11-11,Drenthe,22.0,Overleden,1.0,98.0
2020-11-12,Drenthe,22.0,Overleden,1.0,99.0
2020-11-13,Drenthe,22.0,Overleden,3.0,102.0
2020-11-14,Drenthe,22.0,Overleden,0.0,102.0
2020-11-15,Drenthe,22.0,Overleden,2.0,104.0
2020-11-16,Drenthe,22.0,Overleden,0.0,104.0
2020-11-17,Drenthe,22.0,Overleden,1.0,105.0
2020-02-27,Drenthe,22.0,Totaal,0.0,0.0
2020-02-28,Drenthe,22.0,Totaal,0.0,0.0
2020-02-29,Drenthe,22.0,Totaal,0.0,0.0
2020-03-01,Drenthe,22.0,Totaal,0.0,0.0
2020-03-02,Drenthe,22.0,Totaal,0.0,0.0
2020-03-03,Drenthe,22.0,Totaal,0.0,0.0
2020-03-04,Drenthe,22.0,Totaal,0.0,0.0
2020-03-05,Drenthe,22.0,Totaal,1.0,1.0
2020-03-06,Drenthe,22.0,Totaal,1.0,2.0
2020-03-07,Drenthe,22.0,Totaal,1.0,3.0
2020-03-08,Drenthe,22.0,Totaal,2.0,5.0
2020-03-09,Drenthe,22.0,Totaal,2.0,7.0
2020-03-10,Drenthe,22.0,Totaal,0.0,7.0
2020-03-11,Drenthe,22.0,Totaal,0.0,7.0
2020-03-12,Drenthe,22.0,Totaal,3.0,10.0
2020-03-13,Drenthe,22.0,Totaal,3.0,13.0
2020-03-14,Drenthe,22.0,Totaal,4.0,17.0
2020-03-15,Drenthe,22.0,Totaal,0.0,17.0
2020-03-16,Drenthe,22.0,Totaal,4.0,21.0
2020-03-17,Drenthe,22.0,Totaal,0.0,21.0
2020-03-18,Drenthe,22.0,Totaal,3.0,24.0
2020-03-19,Drenthe,22.0,Totaal,1.0,25.0
2020-03-20,Drenthe,22.0,Totaal,4.0,29.0
2020-03-21,Drenthe,22.0,Totaal,3.0,32.0
2020-03-22,Drenthe,22.0,Totaal,1.0,33.0
2020-03-23,Drenthe,22.0,Totaal,0.0,33.0
2020-03-24,Drenthe,22.0,Totaal,12.0,45.0
2020-03-25,Drenthe,22.0,Totaal,1.0,46.0
2020-03-26,Drenthe,22.0,Totaal,1.0,47.0
2020-03-27,Drenthe,22.0,Totaal,5.0,52.0
2020-03-28,Drenthe,22.0,Totaal,11.0,63.0
2020-03-29,Drenthe,22.0,Totaal,19.0,82.0
2020-03-30,Drenthe,22.0,Totaal,6.0,88.0
2020-03-31,Drenthe,22.0,Totaal,3.0,91.0
2020-04-01,Drenthe,22.0,Totaal,30.0,121.0
2020-04-02,Drenthe,22.0,Totaal,12.0,133.0
2020-04-03,Drenthe,22.0,Totaal,17.0,150.0
2020-04-04,Drenthe,22.0,Totaal,24.0,174.0
2020-04-05,Drenthe,22.0,Totaal,8.0,182.0
2020-04-06,Drenthe,22.0,Totaal,5.0,187.0
2020-04-07,Drenthe,22.0,Totaal,16.0,203.0
2020-04-08,Drenthe,22.0,Totaal,12.0,215.0
2020-04-09,Drenthe,22.0,Totaal,10.0,225.0
2020-04-10,Drenthe,22.0,Totaal,6.0,231.0
2020-04-11,Drenthe,22.0,Totaal,23.0,254.0
2020-04-12,Drenthe,22.0,Totaal,5.0,259.0
2020-04-13,Drenthe,22.0,Totaal,31.0,290.0
2020-04-14,Drenthe,22.0,Totaal,2.0,292.0
2020-04-15,Drenthe,22.0,Totaal,12.0,304.0
2020-04-16,Drenthe,22.0,Totaal,28.0,332.0
2020-04-17,Drenthe,22.0,Totaal,8.0,340.0
2020-04-18,Drenthe,22.0,Totaal,25.0,365.0
2020-04-19,Drenthe,22.0,Totaal,15.0,380.0
2020-04-20,Drenthe,22.0,Totaal,9.0,389.0
2020-04-21,Drenthe,22.0,Totaal,5.0,394.0
2020-04-22,Drenthe,22.0,Totaal,19.0,413.0
2020-04-23,Drenthe,22.0,Totaal,6.0,419.0
2020-04-24,Drenthe,22.0,Totaal,6.0,425.0
2020-04-25,Drenthe,22.0,Totaal,17.0,442.0
2020-04-26,Drenthe,22.0,Totaal,8.0,450.0
2020-04-27,Drenthe,22.0,Totaal,13.0,463.0
2020-04-28,Drenthe,22.0,Totaal,21.0,484.0
2020-04-29,Drenthe,22.0,Totaal,19.0,503.0
2020-04-30,Drenthe,22.0,Totaal,4.0,507.0
2020-05-01,Drenthe,22.0,Totaal,3.0,510.0
2020-05-02,Drenthe,22.0,Totaal,2.0,512.0
2020-05-03,Drenthe,22.0,Totaal,19.0,531.0
2020-05-04,Drenthe,22.0,Totaal,2.0,533.0
2020-05-05,Drenthe,22.0,Totaal,3.0,536.0
2020-05-06,Drenthe,22.0,Totaal,1.0,537.0
2020-05-07,Drenthe,22.0,Totaal,3.0,540.0
2020-05-08,Drenthe,22.0,Totaal,0.0,540.0
2020-05-09,Drenthe,22.0,Totaal,2.0,542.0
2020-05-10,Drenthe,22.0,Totaal,2.0,544.0
2020-05-11,Drenthe,22.0,Totaal,2.0,546.0
2020-05-12,Drenthe,22.0,Totaal,3.0,549.0
2020-05-13,Drenthe,22.0,Totaal,0.0,549.0
2020-05-14,Drenthe,22.0,Totaal,0.0,549.0
2020-05-15,Drenthe,22.0,Totaal,1.0,550.0
2020-05-16,Drenthe,22.0,Totaal,0.0,550.0
2020-05-17,Drenthe,22.0,Totaal,1.0,551.0
2020-05-18,Drenthe,22.0,Totaal,0.0,551.0
2020-05-19,Drenthe,22.0,Totaal,0.0,551.0
2020-05-20,Drenthe,22.0,Totaal,0.0,551.0
2020-05-21,Drenthe,22.0,Totaal,0.0,551.0
2020-05-22,Drenthe,22.0,Totaal,1.0,552.0
2020-05-23,Drenthe,22.0,Totaal,0.0,552.0
2020-05-24,Drenthe,22.0,Totaal,0.0,552.0
2020-05-25,Drenthe,22.0,Totaal,0.0,552.0
2020-05-26,Drenthe,22.0,Totaal,1.0,553.0
2020-05-27,Drenthe,22.0,Totaal,2.0,555.0
2020-05-28,Drenthe,22.0,Totaal,0.0,555.0
2020-05-29,Drenthe,22.0,Totaal,3.0,558.0
2020-05-30,Drenthe,22.0,Totaal,0.0,558.0
2020-05-31,Drenthe,22.0,Totaal,0.0,558.0
2020-06-01,Drenthe,22.0,Totaal,0.0,558.0
2020-06-02,Drenthe,22.0,Totaal,0.0,558.0
2020-06-03,Drenthe,22.0,Totaal,1.0,559.0
2020-06-04,Drenthe,22.0,Totaal,0.0,559.0
2020-06-05,Drenthe,22.0,Totaal,0.0,559.0
2020-06-06,Drenthe,22.0,Totaal,2.0,561.0
2020-06-07,Drenthe,22.0,Totaal,3.0,564.0
2020-06-08,Drenthe,22.0,Totaal,0.0,564.0
2020-06-09,Drenthe,22.0,Totaal,2.0,566.0
2020-06-10,Drenthe,22.0,Totaal,0.0,566.0
2020-06-11,Drenthe,22.0,Totaal,0.0,566.0
2020-06-12,Drenthe,22.0,Totaal,0.0,566.0
2020-06-13,Drenthe,22.0,Totaal,2.0,568.0
2020-06-14,Drenthe,22.0,Totaal,0.0,568.0
2020-06-15,Drenthe,22.0,Totaal,2.0,570.0
2020-06-16,Drenthe,22.0,Totaal,1.0,571.0
2020-06-17,Drenthe,22.0,Totaal,4.0,575.0
2020-06-18,Drenthe,22.0,Totaal,0.0,575.0
2020-06-19,Drenthe,22.0,Totaal,1.0,576.0
2020-06-20,Drenthe,22.0,Totaal,0.0,576.0
2020-06-21,Drenthe,22.0,Totaal,0.0,576.0
2020-06-22,Drenthe,22.0,Totaal,0.0,576.0
2020-06-23,Drenthe,22.0,Totaal,0.0,576.0
2020-06-24,Drenthe,22.0,Totaal,0.0,576.0
2020-06-25,Drenthe,22.0,Totaal,0.0,576.0
2020-06-26,Drenthe,22.0,Totaal,0.0,576.0
2020-06-27,Drenthe,22.0,Totaal,0.0,576.0
2020-06-28,Drenthe,22.0,Totaal,0.0,576.0
2020-06-29,Drenthe,22.0,Totaal,1.0,577.0
2020-06-30,Drenthe,22.0,Totaal,0.0,577.0
2020-07-01,Drenthe,22.0,Totaal,0.0,577.0
2020-07-02,Drenthe,22.0,Totaal,0.0,577.0
2020-07-03,Drenthe,22.0,Totaal,0.0,577.0
2020-07-04,Drenthe,22.0,Totaal,0.0,577.0
2020-07-05,Drenthe,22.0,Totaal,1.0,578.0
2020-07-06,Drenthe,22.0,Totaal,0.0,578.0
2020-07-07,Drenthe,22.0,Totaal,0.0,578.0
2020-07-08,Drenthe,22.0,Totaal,0.0,578.0
2020-07-09,Drenthe,22.0,Totaal,0.0,578.0
2020-07-10,Drenthe,22.0,Totaal,0.0,578.0
2020-07-11,Drenthe,22.0,Totaal,0.0,578.0
2020-07-12,Drenthe,22.0,Totaal,0.0,578.0
2020-07-13,Drenthe,22.0,Totaal,2.0,580.0
2020-07-14,Drenthe,22.0,Totaal,0.0,580.0
2020-07-15,Drenthe,22.0,Totaal,0.0,580.0
2020-07-16,Drenthe,22.0,Totaal,0.0,580.0
2020-07-17,Drenthe,22.0,Totaal,0.0,580.0
2020-07-18,Drenthe,22.0,Totaal,2.0,582.0
2020-07-19,Drenthe,22.0,Totaal,1.0,583.0
2020-07-20,Drenthe,22.0,Totaal,1.0,584.0
2020-07-21,Drenthe,22.0,Totaal,1.0,585.0
2020-07-22,Drenthe,22.0,Totaal,0.0,585.0
2020-07-23,Drenthe,22.0,Totaal,3.0,588.0
2020-07-24,Drenthe,22.0,Totaal,0.0,588.0
2020-07-25,Drenthe,22.0,Totaal,1.0,589.0
2020-07-26,Drenthe,22.0,Totaal,4.0,593.0
2020-07-27,Drenthe,22.0,Totaal,2.0,595.0
2020-07-28,Drenthe,22.0,Totaal,4.0,599.0
2020-07-29,Drenthe,22.0,Totaal,0.0,599.0
2020-07-30,Drenthe,22.0,Totaal,0.0,599.0
2020-07-31,Drenthe,22.0,Totaal,1.0,600.0
2020-08-01,Drenthe,22.0,Totaal,0.0,600.0
2020-08-02,Drenthe,22.0,Totaal,0.0,600.0
2020-08-03,Drenthe,22.0,Totaal,0.0,600.0
2020-08-04,Drenthe,22.0,Totaal,0.0,600.0
2020-08-05,Drenthe,22.0,Totaal,0.0,600.0
2020-08-06,Drenthe,22.0,Totaal,2.0,602.0
2020-08-07,Drenthe,22.0,Totaal,1.0,603.0
2020-08-08,Drenthe,22.0,Totaal,4.0,607.0
2020-08-09,Drenthe,22.0,Totaal,5.0,612.0
2020-08-10,Drenthe,22.0,Totaal,3.0,615.0
2020-08-11,Drenthe,22.0,Totaal,2.0,617.0
2020-08-12,Drenthe,22.0,Totaal,2.0,619.0
2020-08-13,Drenthe,22.0,Totaal,1.0,620.0
2020-08-14,Drenthe,22.0,Totaal,0.0,620.0
2020-08-15,Drenthe,22.0,Totaal,0.0,620.0
2020-08-16,Drenthe,22.0,Totaal,0.0,620.0
2020-08-17,Drenthe,22.0,Totaal,5.0,625.0
2020-08-18,Drenthe,22.0,Totaal,0.0,625.0
2020-08-19,Drenthe,22.0,Totaal,0.0,625.0
2020-08-20,Drenthe,22.0,Totaal,0.0,625.0
2020-08-21,Drenthe,22.0,Totaal,0.0,625.0
2020-08-22,Drenthe,22.0,Totaal,1.0,626.0
2020-08-23,Drenthe,22.0,Totaal,0.0,626.0
2020-08-24,Drenthe,22.0,Totaal,3.0,629.0
2020-08-25,Drenthe,22.0,Totaal,0.0,629.0
2020-08-26,Drenthe,22.0,Totaal,8.0,637.0
2020-08-27,Drenthe,22.0,Totaal,2.0,639.0
2020-08-28,Drenthe,22.0,Totaal,2.0,641.0
2020-08-29,Drenthe,22.0,Totaal,1.0,642.0
2020-08-30,Drenthe,22.0,Totaal,0.0,642.0
2020-08-31,Drenthe,22.0,Totaal,4.0,646.0
2020-09-01,Drenthe,22.0,Totaal,0.0,646.0
2020-09-02,Drenthe,22.0,Totaal,1.0,647.0
2020-09-03,Drenthe,22.0,Totaal,2.0,649.0
2020-09-04,Drenthe,22.0,Totaal,2.0,651.0
2020-09-05,Drenthe,22.0,Totaal,4.0,655.0
2020-09-06,Drenthe,22.0,Totaal,6.0,661.0
2020-09-07,Drenthe,22.0,Totaal,0.0,661.0
2020-09-08,Drenthe,22.0,Totaal,0.0,661.0
2020-09-09,Drenthe,22.0,Totaal,2.0,663.0
2020-09-10,Drenthe,22.0,Totaal,2.0,665.0
2020-09-11,Drenthe,22.0,Totaal,6.0,671.0
2020-09-12,Drenthe,22.0,Totaal,1.0,672.0
